UNIT_00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00010,"After the end of World War II , he was sentenced to life imprisonment by the International Military Tribunal for the Far East .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00010,sentenced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,was,,sentenced,,to,something,?,he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,When,was,someone,sentenced,,to ,something,?,After the end of World War II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,How,was,someone,sentenced,,,,?,to life imprisonment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,Who,,,sentenced,someone,,,?,the International Military Tribunal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00011,"Her parents had founded Brauweiler , but the original church was modestly furnished , which was incompatible with the dynasty 's territorial objectives .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00003,founded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,founded,something,,,?,Her parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,What,did,someone,found,,,,?,Brauweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00011,"Her parents had founded Brauweiler , but the original church was modestly furnished , which was incompatible with the dynasty 's territorial objectives .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00012,furnished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,What,was,,furnished,,,,?,the original church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,How,was,something,furnished,,,,?,modestly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00012,"Also arrested were arms dealer Douglas Bernhardt and a South African diplomat , Daniel Storm .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00001,arrested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,were,,arrested,,,,?,"arms dealer Douglas Bernhardt and a South African diplomat , Daniel Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
