_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_of_the_sentiments_below,choose_one_of_the_sentiments_below:confidence,choose_one_of_the_sentiments_below_gold,id,sentence
1217404904,false,finalized,3,4/24/2017 04:19:19,negative,1.0,,1,The result is a sumptuous time-teasing story.
1217404905,false,finalized,3,4/24/2017 04:14:23,negative,0.6498,,2,The romantic fatalism is so lush that you're invited to get lost in it.
1217404906,false,finalized,3,4/24/2017 04:16:20,very_positive,0.6789,,3,"Quite simply an incomparably sublime work of art, a triumph of lyricism over narrative in the cinema, and the most exquisite homage to the beauty of women it has ever been my privilege to witness on the screen."
1217404907,false,finalized,3,4/24/2017 04:15:15,positive,0.6644,,4,"Wong offers an artful meditation on the nature of love, making effective use of color schemes (yellows, greens and reds), placid shotmaking and diverse music to deliver a sultry portrait of postwar Hong Kong."
1217404908,false,finalized,3,4/24/2017 04:18:04,positive,1.0,,5,"Wwithout a doubt, it's seductively perplexing and devilishly good-looking -- and if you like it, you'll probably find that one viewing isn't enough."
1217404909,false,finalized,3,4/24/2017 04:06:40,positive,0.3738,,6,"For all its balance and grandeur, 2046 is the most nervous of Wong's films."
1217404910,false,finalized,3,4/24/2017 04:19:33,positive,0.6897,,7,"2046 thus comes to encapsulate everything to which Wong (and, in turn, his audience) keeps returning."
1217404911,false,finalized,3,4/24/2017 04:14:23,positive,0.6717,,8,In the mood for sublimity
1217404912,false,finalized,4,4/24/2017 04:06:16,positive,1.0,,9,"Seductive and luscious, a cinematic smorgasbord of sensuous delight."
1217404913,false,finalized,3,4/24/2017 04:20:46,positive,0.6522,,10,"Here, the mystery of the deepest recesses of human emotion are plundered for cinematic play."
1217404914,false,finalized,3,4/24/2017 05:13:20,negative,1.0,,11,"A bleak, rather obvious melodrama disguised by a tricksy, time-splicing structure."
1217404915,false,finalized,3,4/24/2017 04:14:23,positive,1.0,,12,"This is cinematic storytelling of a very high order, and the clear work of a moviemaker who has almost instantly established himself as a force to be reckoned with."
1217404916,false,finalized,3,4/24/2017 04:14:23,positive,0.3502,,13,"Though not depressing, because nothing this good is, the film is haunting -- a walk on the razor's edge between life and death."
1217404917,false,finalized,3,4/24/2017 04:45:32,negative,1.0,,14,"If not for its show-offy back-and- forthing of time, the movie would be a banal, pointlessly depressing exercise."
1217404918,false,finalized,3,4/24/2017 04:17:12,positive,0.6797,,15,"Tough, smart, relentless, provocative and, above all, serious."
1217404919,false,finalized,3,4/24/2017 04:19:33,positive,1.0,,16,"Inarritu and Arriaga's first English-language film doesn't approach the brilliance of Amores Perros, but it succeeds on a more modest scale."
1217404920,false,finalized,3,4/24/2017 05:47:29,neutral,0.6784,,17,Thought-provoking film not for tweens/young teens.
1217404921,false,finalized,4,4/24/2017 04:06:16,positive,1.0,,18,"A highly emotional, thought provoking drama that easily lives up to the hype, 21 Grams is a film that has all of its bases covered: script, acting and direction."
1217404922,false,finalized,4,4/24/2017 04:17:12,positive,0.5196,,19,Une oeuvre d'une rare intensité dramatique qui n'a aucunement besoin de suivre un cheminement narratif classique pour susciter une vive réaction chez le spectateur
1217404923,false,finalized,4,4/24/2017 04:03:30,negative,0.5226,,20,The structure simply doesn't let any of the characters build an arc of growth or despair.
1217404924,false,finalized,3,4/24/2017 04:45:32,negative,0.3551,,21,Quite what age group this soft-centered entertainment is aimed at is hard to divine.
1217404925,false,finalized,4,4/24/2017 04:17:12,very_negative,0.5029,,22,"Stupid, coarse and abysmally unfunny."
1217404926,false,finalized,3,4/24/2017 04:12:02,neutral,1.0,,23,Ends up making you pine for Lucy's gift of forgetting.
1217404927,false,finalized,3,4/24/2017 04:18:57,very_negative,1.0,,24,This movie paints itself into a corner from which it cannot emerge without becoming an utter disaster as far as I'm concerned.
1217404928,false,finalized,3,4/24/2017 04:16:53,positive,1.0,,25,"Adam Sandler and Drew Barrymore shine in this sweet, flirty comedy about a man who falls for a woman with short-term memory loss."
1217404929,false,finalized,4,4/24/2017 04:06:16,positive,1.0,,26,"A chick flick for guys, with a pH balance in perfect equilibrium between the crass and the sweet."
1217404930,false,finalized,3,4/24/2017 04:16:48,positive,0.6917,,27,...has an unexpected emotional undertow and enough hard-won laughs to make it succeed.
1217404931,false,finalized,3,4/24/2017 04:16:20,very_positive,0.6789,,28,A surprisingly good film with a sweet story...
1217404932,false,finalized,3,4/24/2017 04:06:40,neutral,0.3738,,29,"Within the witlessness and crudeness is a touching (or mawkish, depending on your perspective) romantic comedy trying to get out."
1217404933,false,finalized,3,4/24/2017 04:17:42,positive,1.0,,30,The moments that Sandler and Barrymore can steal together are golden.
1217404934,false,finalized,3,4/24/2017 04:12:02,positive,1.0,,31,"Though the set-up in this light romantic comedy is a bit strained, once you get into the main interaction with the two stars you get both the laughs and the emotion that you hope for in a film like this."
1217404935,false,finalized,3,4/24/2017 04:13:15,positive,0.6753,,32,"Gossamer thin, but lots of fun nevertheless."
1217404936,false,finalized,3,4/24/2017 05:12:39,positive,0.6771,,33,The less you know about this movie before seeing it -- and you really should see it -- the better.
1217404937,false,finalized,3,4/24/2017 04:06:40,negative,0.7009,,34,"Cronenberg's direction, mirroring the split in Tom, is alternately measured and frighteningly explosive, and, as always, he gives the movie a nasty underlay of sexual perversity."
1217404938,false,finalized,3,4/24/2017 04:19:19,negative,0.6729,,35,"This peculiarly predictable picture has been calculated, or miscalculated, to set up certain expectations, fulfill them, and then do the same thing again, thereby giving us a chance to see what's coming and, at least in theory, be shocked."
1217404939,false,finalized,3,4/24/2017 05:31:31,positive,0.6753,,36,"A remarkably convincing examination of heroism, hero worship, and the seductive allure of villainy."
1217404940,false,finalized,3,4/24/2017 04:16:48,positive,0.6696,,37,"The film, based on a graphic novel, has a crackling sense of visual tension."
1217404941,false,finalized,3,4/24/2017 04:20:46,positive,1.0,,38,"A model of clean, lean storytelling."
1217404942,false,finalized,3,4/24/2017 04:18:04,neutral,0.6579,,39,Hopefully [it will] encourage a sobering sense of responsibility and a more truthful perspective on identities (individual and national).
1217404943,false,finalized,3,4/24/2017 05:12:54,positive,0.6678,,40,"A fascinating exercise in cinematic restraint resulting in a captivating, not to be missed film."
1217404944,false,finalized,4,4/24/2017 04:17:12,positive,0.7706,,41,"With A History Of Violence, Cronenberg uses the pulp gangster genre - as opposed to, say, sci-fi horror -- to draw us into a dialogue on our relationship as voyeurs to violence, both real and cinematic."
1217404945,false,finalized,3,4/24/2017 05:14:40,neutral,0.6237,,42,"Without conceding any of his iconoclastic vision, Cronenberg has turned a genre film with classic Western overtones into a gripping psychological drama that examines the duality of man and his infatuation with the art of violence."
