id	sentence
1	The result is a sumptuous time-teasing story.
2	The romantic fatalism is so lush that you're invited to get lost in it.
3	Quite simply an incomparably sublime work of art, a triumph of lyricism over narrative in the cinema, and the most exquisite homage to the beauty of women it has ever been my privilege to witness on the screen.
4	Wong offers an artful meditation on the nature of love, making effective use of color schemes (yellows, greens and reds), placid shotmaking and diverse music to deliver a sultry portrait of postwar Hong Kong.
5	Wwithout a doubt, it's seductively perplexing and devilishly good-looking -- and if you like it, you'll probably find that one viewing isn't enough.
6	For all its balance and grandeur, 2046 is the most nervous of Wong's films.
7	2046 thus comes to encapsulate everything to which Wong (and, in turn, his audience) keeps returning.
8	In the mood for sublimity
9	Seductive and luscious, a cinematic smorgasbord of sensuous delight.
10	Here, the mystery of the deepest recesses of human emotion are plundered for cinematic play.
11	A bleak, rather obvious melodrama disguised by a tricksy, time-splicing structure.
12	This is cinematic storytelling of a very high order, and the clear work of a moviemaker who has almost instantly established himself as a force to be reckoned with.
13	Though not depressing, because nothing this good is, the film is haunting -- a walk on the razor's edge between life and death.
14	If not for its show-offy back-and- forthing of time, the movie would be a banal, pointlessly depressing exercise.
15	Tough, smart, relentless, provocative and, above all, serious.
16	Inarritu and Arriaga's first English-language film doesn't approach the brilliance of Amores Perros, but it succeeds on a more modest scale.
17	Thought-provoking film not for tweens/young teens.
18	A highly emotional, thought provoking drama that easily lives up to the hype, 21 Grams is a film that has all of its bases covered: script, acting and direction.
19	Une oeuvre d'une rare intensité dramatique qui n'a aucunement besoin de suivre un cheminement narratif classique pour susciter une vive réaction chez le spectateur
20	The structure simply doesn't let any of the characters build an arc of growth or despair.
21	Quite what age group this soft-centered entertainment is aimed at is hard to divine.
22	Stupid, coarse and abysmally unfunny.
23	Ends up making you pine for Lucy's gift of forgetting.
24	This movie paints itself into a corner from which it cannot emerge without becoming an utter disaster as far as I'm concerned.
25	Adam Sandler and Drew Barrymore shine in this sweet, flirty comedy about a man who falls for a woman with short-term memory loss.
26	A chick flick for guys, with a pH balance in perfect equilibrium between the crass and the sweet.
27	...has an unexpected emotional undertow and enough hard-won laughs to make it succeed.
28	A surprisingly good film with a sweet story...
29	Within the witlessness and crudeness is a touching (or mawkish, depending on your perspective) romantic comedy trying to get out.
30	The moments that Sandler and Barrymore can steal together are golden.
31	Though the set-up in this light romantic comedy is a bit strained, once you get into the main interaction with the two stars you get both the laughs and the emotion that you hope for in a film like this.
32	Gossamer thin, but lots of fun nevertheless.
33	The less you know about this movie before seeing it -- and you really should see it -- the better.
34	Cronenberg's direction, mirroring the split in Tom, is alternately measured and frighteningly explosive, and, as always, he gives the movie a nasty underlay of sexual perversity.
35	This peculiarly predictable picture has been calculated, or miscalculated, to set up certain expectations, fulfill them, and then do the same thing again, thereby giving us a chance to see what's coming and, at least in theory, be shocked.
36	A remarkably convincing examination of heroism, hero worship, and the seductive allure of villainy.
37	The film, based on a graphic novel, has a crackling sense of visual tension.
38	A model of clean, lean storytelling.
39	Hopefully [it will] encourage a sobering sense of responsibility and a more truthful perspective on identities (individual and national).
40	A fascinating exercise in cinematic restraint resulting in a captivating, not to be missed film.
41	With A History Of Violence, Cronenberg uses the pulp gangster genre - as opposed to, say, sci-fi horror -- to draw us into a dialogue on our relationship as voyeurs to violence, both real and cinematic.
42	Without conceding any of his iconoclastic vision, Cronenberg has turned a genre film with classic Western overtones into a gripping psychological drama that examines the duality of man and his infatuation with the art of violence.
43	While it weakens in its final stretch...A History of Violence succeeds enormously thanks to the strength of its direction and performances.
44	A truly entertaining and engrossing study of violence, family, and our pasts eventually coming back to haunt us...
45	Here's the final mystery about Accepted: Why title a movie that so readily invites the headline Rejected as a critical riposte?
46	Even though it outright plagiarizes many plot points and gags of that generational classic, Accepted can't make the leap from contrived to genuine comedy.
47	If you can lighten up for an hour and a half, the film delivers one good laugh after another.
48	Too bad what begins as a cheerfully irreverent comedy in the tradition of Animal House gets all pious when it slams fraternity culture at neighboring Harmon College.
49	It has a few funny bits here and there, but they're deeply mired in the seen-it-all-beforeness of the film.
50	Sporadically entertaining but relentlessly lightweight...
51	Though keeping worthwhile targets - like professors who want to see their most creative students fail - director Steve Pink lets his punk inspiration slide into standard school rivalries and unrelated slapstick.
52	The movie works on the pure energy of its straight-faced silliness.
53	[Accepted] would be funnier with an R rating on principle
54	Average comedy that's low on jokes and doesn't quite live up to its premise, though it remains watchable thanks to a charming performance by Justin Long.
55	By summoning his inner classicist, [director] Stone has made an excruciating disaster for the ages.
56	Though the battles have the blood-and-sinew bravado you expect from Oliver Stone, this three-hour buttnumbathon is hamstrung by a hectoring grandiosity, not new to Stone, and a nod toward caution, which is.
57	At a reported cost of $155 million, Alexander qualifies as a super-spectacle in every respect but one -- namely in its neurotic, confused and sexually ambidextrous hero.
58	Sluggish, unsmiling, and almost as limp as the feather fans with which our heroes are gently aerated on their trip to the Hanging Gardens of Babylon.
59	It's just a wild, glorious, wacky mess that I found really entertaining.
60	This new set presents the film in great quality and comes with some fantastic special features, but it's doubtful that this latest version of "Alexander" is going to change anyone's mind as to the quality of the film itself.
61	For the lucky few that see this without ever having viewed the first cut, they may wonder what all the criticism was about in the first place.
62	General mistakes all across the board contribute and reinforce each other to bring it down
63	This is ultimately "Alexander" as written by Danielle Steele...
64	Stone doesn't present characters that the audience can believe in, even for one moment, as representative of their historic roles.
65	Costa-Gavras deserves credit for staying the course; in a time when most European film directors are wringing their hands, he's still pointing fingers.
66	Tukur's performance is the centerpiece of the movie; it's a wonderful mixture of outrage and swiftly disappearing naivete.
67	In a remarkably subtle turn, the German Tukur is convincing as [Gerstein].
